-49.39753,-20.81950,"S","[72569]"
-43.19297,-22.95422,"S","[72580]"
-46.42786,-23.70611,"E","[72671]"
-40.49925,-9.39544,"W, video","[72728]"
-40.49997,-9.39969,"E, video","[72753]"
-40.49983,-9.39978,"N, video","[72755]"
-34.89217,-8.03856,"[72820]","[72820]"
-43.18972,-22.97589,"W","[72849]"
-49.28247,-16.63503,"W","[72914]"
-49.38483,-20.82281,"S","[72989]"
-45.90042,-23.15203,"S","[73024]"
-48.94983,-16.32903,"N","[73032]"
-48.95089,-16.32650,"N","[73038]"
-48.95133,-16.32858,"[73040]","[73040]"
-48.95114,-16.32878,"[73041]","[73041]"
-48.95153,-16.32883,"[73042]","[73042]"
-48.94997,-16.32872,"S","[73044]"
-48.94972,-16.32894,"W","[73045]"
-48.95183,-16.33375,"S","[73046]"
-35.21367,-5.79383,"N","[73090]"
-46.46817,-23.53622,"E","[73224]"
-46.54514,-22.95553,"E","[73231]"
-46.53869,-22.95944,"N","[73278]"
-38.52514,-3.74617,"N","[73339]"
-43.65053,-22.95128,"S","[73363]"
-45.88406,-23.22939,"[73644]","[73644]"
-46.62381,-23.68536,"W","[73675]"
-46.69692,-23.63819,"S","[73739]"
-37.08131,-10.92950,"[73855]","[73855]"
-37.08111,-10.92864,"[73857]","[73857]"
-44.28322,-2.49922,"[73894]","[73894]"
-46.99439,-22.96836,"N","[73967]"
-43.23556,-22.91319,"E","[73975]"
-43.23517,-22.91306,"W","[73976]"
-43.33575,-22.93706,"[73990]","[73990]"
-48.63997,-26.94406,"[74043]","[74043]"
-38.47694,-12.90342,"S","[74091]"
-38.47697,-12.90386,"N","[74092]"
-46.53994,-22.94544,"N","[74195]"
-46.52919,-22.95008,"E","[74197]"
-49.17914,-26.73178,"N","[74300]"
-46.67653,-23.58886,"S","[74361]"
-34.85500,-7.11964,"W","[74444]"
-45.97169,-23.30575,"E","[74470]"
-49.38197,-20.81828,"N","[74644]"
-43.22581,-22.92108,"N","[74669]"
-43.55958,-23.00519,"[74686]","[74686]"
-47.65214,-22.73647,"S","[74735]"
-49.26689,-16.71436,"N","[74768]"
-46.53597,-22.94156,"S","[74830]"
-47.65619,-22.71211,"S","[74887]"
-47.63003,-22.73872,"E","[74909]"
-43.28542,-22.97392,"N","[74915]"
